Start Time: 2017-10-30 18:11:59.375010
Read from file :Trainset_SeparateEachEpochPerRow_Signal30s_Normalization.csv
Read from file :Testset_SeparateEachEpochPerRow_Signal30s_Normalization.csv
Parameter:
{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
##############  K-Fold #####################

K-1 : 0.9713261648745519

['Record K-1: Train(5013) Test(558)']
K-2 : 0.9730700179533214

['Record K-2: Train(5014) Test(557)']
K-3 : 0.9640933572710951

['Record K-3: Train(5014) Test(557)']
K-4 : 0.9622980251346499

['Record K-4: Train(5014) Test(557)']
K-5 : 0.9658886894075404

['Record K-5: Train(5014) Test(557)']
K-6 : 0.9784560143626571

['Record K-6: Train(5014) Test(557)']
K-7 : 0.9766606822262118

['Record K-7: Train(5014) Test(557)']
K-8 : 0.9784560143626571

['Record K-8: Train(5014) Test(557)']
K-9 : 0.9748653500897666

['Record K-9: Train(5014) Test(557)']
K-10 : 0.9730700179533214

['Record K-10: Train(5014) Test(557)']
Mean K- Flod : 0.9718184333635772
---------------- Testset ------------------------

################ overall accuracy ###########
 0    0.992462
1    0.997487
2    0.987437
3    0.998744
4    0.986181
dtype: float64
#############################################
##################  TPR  ######################
0    0.991133
1    0.911765
2    0.993555
3    0.923077
4    0.937313
dtype: float64
##################  TNR  ######################
0    0.993445
1    1.000000
2    0.983528
3    1.000000
4    0.994155
dtype: float64
##################  PPV  ######################
0    0.991133
1    1.000000
2    0.974710
3    1.000000
4    0.963190
dtype: float64
##################  NPV  ######################
0    0.993445
1    0.997420
2    0.995830
3    0.998724
4    0.989816
dtype: float64
##################  FPR  ######################
0    0.006555
1    0.000000
2    0.016472
3    0.000000
4    0.005845
dtype: float64
##################  FNR  ######################
0    0.008867
1    0.088235
2    0.006445
3    0.076923
4    0.062687
dtype: float64
##################  FDR  ######################
0    0.008867
1    0.000000
2    0.025290
3    0.000000
4    0.036810
dtype: float64
##################  AUC  ######################
0.015962864689629576
##################  F_measure  ######################
0    0.991133
1    0.953846
2    0.984043
3    0.960000
4    0.950076
dtype: float64
-------------------------------------------------

Trainset : 5571
Testset :2388
############## Accuracy Train 70% and Test 30 % ##################
 0.9811557788944724 
##########################################

############## Confusion Matrix 70/30 ############ 
       0   1    2   3    4
0  1006   0    0   0    9
1     0  62    3   0    3
2     6   0  925   0    0
3     0   0    3  36    0
4     3   0   18   0  314
End Time: 2017-10-30 18:12:26.288227
Total Time : 0:00:26.913217
